Field,Activity,Activity Description,Operation Seq,Component,Component Description,UOM,Quantity
G1,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",350,P20659A,"KIT, MINIMUM PRESSURE VALVE KIT P/N : 2901145300  ""ATLAS COPCO""",EA,1
G1,CHHD-H250-02,Job for Mechanic Nautilius marine crane swing mechanism 250 hr or 3- monthly service,50,P20327A,"OIL, NO MODIFIER, TYPE Shell Omala S2 G220(Omala 220) Pail 20 Ltr",PAI,1
G1,CHHD-H250-02,Job for Mechanic Nautilius marine crane swing mechanism 250 hr or 3- monthly service,60,P21683A,"GREASE, NO MODIFIER, TYPE Shell Gadus S2 V220 2(Alvania EP2)(Pail 18 kg)",PAI,0.1
G1,CHHD-H250-02,Job for Mechanic Nautilius marine crane swing mechanism 250 hr or 3- monthly service,70,P21683A,"GREASE, NO MODIFIER, TYPE Shell Gadus S2 V220 2(Alvania EP2)(Pail 18 kg)",PAI,0.1
G1,PUSC-W02-01,Job for Mechanic Moyno closed drain pump 2-weekly service,70,P20329A,"OIL, NO MODIFIER, TYPE Shell Tellus S2 M68(Tellus 68) Pail 20 Ltr",PAI,0.1
G1,CHHD-H1000-01,Job for Mechanic Nautilius marine crane swing mechanism 1000 hr or annual service,50,P20327A,"OIL, NO MODIFIER, TYPE Shell Omala S2 G220(Omala 220) Pail 20 Ltr",PAI,1
G1,CHHD-H1000-01,Job for Mechanic Nautilius marine crane swing mechanism 1000 hr or annual service,60,P21683A,"GREASE, NO MODIFIER, TYPE Shell Gadus S2 V220 2(Alvania EP2)(Pail 18 kg)",PAI,0.1
G1,CHHD-H1000-01,Job for Mechanic Nautilius marine crane swing mechanism 1000 hr or annual service,70,P21683A,"GREASE, NO MODIFIER, TYPE Shell Gadus S2 V220 2(Alvania EP2)(Pail 18 kg)",PAI,0.1
G1,PUCE-M01-01,Job for Mechanic GOULDS Closed drain booster pump monthly service,60,P20329A,"OIL, NO MODIFIER, TYPE Shell Tellus S2 M68(Tellus 68) Pail 20 Ltr",PAI,0.25
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,50,P23232A,"LUBE OIL, CUMMINS PREMIUM BLUE 200L MFG: FLEETGUARD, P/N : 200L-CI4",DRM,1
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,60,P20163A,"FILTER, LUBE OIL FILTER MFG: FLEETGUARD, P/N : LF670",EA,4
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,70,P20183A,"FILTER, LUBE OIL FILTER MFG: FLEETGUARD, P/N : LF777",PCS,2
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,80,P20181A,"FILTER, WATER FILTER MFG: FLEETGUARD, P/N : WF2076",PCS,2
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,110,P20724A,"COOLANT, ES COMPLEAT 5GL MFG: FLEETGUARD, P/N : CC2848",PAI,1
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,130,P20279A,"SEPARATOR FILTER, 2020PM-OR  FUEL SEPARATOR REPLACEMENT ELEMENT RACOR PARKER 30 MICRON",PCS,1
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,140,P20340A,"FILTER, FUEL SEPARATOR MFG: FLEETGUARD, P/N : FS1006",PCS,2
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,150,P20268A,"FILTER, AIR FILTER MFG: FLEETGUARD, P/N : AF4674",PCS,2
G1,CEDE-H250-01,Job for Mechanic & E&I Cummins engine model QST30-G4 250 hr service,160,P20270A,"FILTER, AIR FILTER MFG: FLEETGUARD, P/N : AF4675",PCS,2
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",140,P23232A,"LUBE OIL, CUMMINS PREMIUM BLUE 200L MFG: FLEETGUARD, P/N : 200L-CI4",DRM,1
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",150,P20163A,"FILTER, LUBE OIL FILTER MFG: FLEETGUARD, P/N : LF670",EA,4
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",160,P20183A,"FILTER, LUBE OIL FILTER MFG: FLEETGUARD, P/N : LF777",PCS,2
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",170,P20181A,"FILTER, WATER FILTER MFG: FLEETGUARD, P/N : WF2076",PCS,2
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",200,P20724A,"COOLANT, ES COMPLEAT 5GL MFG: FLEETGUARD, P/N : CC2848",PAI,1
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",220,P20279A,"SEPARATOR FILTER, 2020PM-OR  FUEL SEPARATOR REPLACEMENT ELEMENT RACOR PARKER 30 MICRON",PCS,1
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",230,P20340A,"FILTER, FUEL SEPARATOR MFG: FLEETGUARD, P/N : FS1006",PCS,2
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",240,P20268A,"FILTER, AIR FILTER MFG: FLEETGUARD, P/N : AF4674",PCS,2
G1,CEDE-H2000-01,"Job for Mechanic Cummins engine model QST30-G4 2,000 hr service",250,P20270A,"FILTER, AIR FILTER MFG: FLEETGUARD, P/N : AF4675",PCS,2
G1,PUCE-H2000-01,"Job for Mechanic Flowserve pump model 4HPX15A/ERPN 80-400 2,000 hr or 6-monthly service",90,P22141A,"OIL, SHELL TURBO T100 18 LTR/PAIL",PAI,0.55
G1,PUPG-M03-01,Job for Mechanic FMC M06 Closed drain reciprocating triplex pump 3-monthly service,110,1007056,"GREASE, FOR PACKED PLUNGER EASTERN 12 HI TEMP",PAI,0.25
G1,PUSC-M03-01,Job for Mechanic Moyno closed drain pump 3-monthly service,130,P20329A,"OIL, NO MODIFIER, TYPE Shell Tellus S2 M68(Tellus 68) Pail 20 Ltr",PAI,1
G1,PUPG-M02-01,Job for Mechanic William chemical injection pump 2-monthly service,50,P20297A,"OIL, SF96-100/4 4 OZ. SILICONE OIL IN BOTTLE",EA,0.25
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,60,P20322A,"FILTER, OIL FILTER P/N 1R0739",EA,1
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,100,P20724A,"COOLANT, ES COMPLEAT 5GL MFG: FLEETGUARD, P/N : CC2848",PAI,1
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,110,P21834A,"FUEL FILTER, N45424-558 FILTER FUEL PRIMARY, ELEMENT",EA,1
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,120,P20305A,"FUEL FILTER, FUEL FILTER P/N 1R-0751 ""CATERPILLAR""",EA,1
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,130,P20286A,"ELEMENT, ELEMENT AS P/N 6I-2501 RADIAL SEAL AIR FILTER(OUTTER)",EA,1
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,140,P20287A,"ELEMENT, ELEMENT (R)  P/N 6I-2502 RADIAL SEAL AIR FILTER(INNER)",EA,1
G1,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,50,P23233A,"LUBE OIL, CUMMINS PREMIUM BLUE 20L MFG: FLEETGUARD, P/N : 20L-CI4",PAI,2
G1,PUPG-M03-02,Job for Mechanic Milton Roy Milroyal B/D pump 3-monthly service,20,P20420A,"OIL, SHELL OMALA S2 G 460 / P20L",PAI,0.25
G1,PUPG-M06-03,Job for Mechanic Williams milton roy pump 6-monthly service,40,P20297A,"OIL, SF96-100/4 4 OZ. SILICONE OIL IN BOTTLE",EA,0.25
G1,CEDE-H250-03,Job for Mechanic Caterpillar engine model 3306DIT 250 hr or 3-monthly service,60,P20322A,"FILTER, OIL FILTER P/N 1R0739",EA,1
G1,CEDE-H250-03,Job for Mechanic Caterpillar engine model 3306DIT 250 hr or 3-monthly service,100,P20724A,"COOLANT, ES COMPLEAT 5GL MFG: FLEETGUARD, P/N : CC2848",PAI,1
G1,CEDE-H250-03,Job for Mechanic Caterpillar engine model 3306DIT 250 hr or 3-monthly service,130,P20282A,"FILTER, FILTER A-FUEL P/N 1R-0750",EA,1
G1,CEDE-H250-03,Job for Mechanic Caterpillar engine model 3306DIT 250 hr or 3-monthly service,50,P23233A,"LUBE OIL, CUMMINS PREMIUM BLUE 20L MFG: FLEETGUARD, P/N : 20L-CI4",PAI,2
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),70,P23232A,"LUBE OIL, CUMMINS PREMIUM BLUE 200L MFG: FLEETGUARD, P/N : 200L-CI4",DRM,1
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),150,P20184A,"FILTER, LUBE OIL FILTER MFG: FLEETGUARD, P/N : LF3325",PCS,5
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),160,P20183A,"FILTER, LUBE OIL FILTER MFG: FLEETGUARD, P/N : LF777",PCS,2
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),170,P20279A,"SEPARATOR FILTER, 2020PM-OR  FUEL SEPARATOR REPLACEMENT ELEMENT RACOR PARKER 30 MICRON",PCS,3
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),200,P20340A,"FILTER, FUEL SEPARATOR MFG: FLEETGUARD, P/N : FS1006",PCS,2
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),210,P20181A,"FILTER, WATER FILTER MFG: FLEETGUARD, P/N : WF2076",PCS,2
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),220,P20345A,"FILTER, AIR FILTER MFG: FLEETGUARD, P/N : AF25544",PCS,2
G1,CEDE-H1500-01,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service(First engine service),230,P20346A,"FILTER, AIR FILTER MFG: FLEETGUARD, P/N : AF25545",PCS,2
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,120,1010803,"FILTER, FUEL, TYPE ADVANCE EFFICIENCY, MFG CATERPILLAR, P/N 1R-0751",PCS,1
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,50,1013313,"FILTER, ENGINE OIL, ADVANCED EFFICIENCY (C32), MFG CATERPILLAR, P/N 1R-1808",EA,1
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,40,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,120,1010805,"FILTER, AIR, TYPE CRANKCASE VENTILATION, MFG CATERPILLAR, P/N 274-7913",PCS,1
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,0
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,120,1010788,"FILTER, AIR, TYPE PRIMARY AIR INTAKE FILTER, MFG CATERPILLAR, P/N 132-7167",PCS,1
G1,CEDE-H1000-01,Job for Mechanic Caterpillar engine Model C9-1000 hr service,120,1010789,"FILTER, AIR, TYPE SECONDARY AIR INTAKE FILTER, MFG CATERPILLAR, P/N 6I-2510",PCS,1
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,50,1010803,"FILTER, FUEL, TYPE ADVANCE EFFICIENCY, MFG CATERPILLAR, P/N 1R-0751",PCS,1
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,40,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,50,1010805,"FILTER, AIR, TYPE CRANKCASE VENTILATION, MFG CATERPILLAR, P/N 274-7913",PCS,1
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,50,1013313,"FILTER, ENGINE OIL, ADVANCED EFFICIENCY (C32), MFG CATERPILLAR, P/N 1R-1808",EA,1
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,0
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,50,1010788,"FILTER, AIR, TYPE PRIMARY AIR INTAKE FILTER, MFG CATERPILLAR, P/N 132-7167",PCS,1
G1,CEDE-H2000-05,Job for Mechanic Caterpillar engine Model C9-2000 hr service,50,1010789,"FILTER, AIR, TYPE SECONDARY AIR INTAKE FILTER, MFG CATERPILLAR, P/N 6I-2510",PCS,1
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,50,1009031,DUPLICATE ITEM 1013313,EA,1
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,120,1010803,"FILTER, FUEL, TYPE ADVANCE EFFICIENCY, MFG CATERPILLAR, P/N 1R-0751",PCS,1
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,50,1013313,"FILTER, ENGINE OIL, ADVANCED EFFICIENCY (C32), MFG CATERPILLAR, P/N 1R-1808",EA,1
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,40,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,0
G1,CEDE-H500-04,Job for Mechanic Caterpillar engine Model C9-500 hr service,120,1010805,"FILTER, AIR, TYPE CRANKCASE VENTILATION, MFG CATERPILLAR, P/N 274-7913",PCS,1
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,50,1009031,DUPLICATE ITEM 1013313,EA,1
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,50,1013313,"FILTER, ENGINE OIL, ADVANCED EFFICIENCY (C32), MFG CATERPILLAR, P/N 1R-1808",EA,1
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,50,1010803,"FILTER, FUEL, TYPE ADVANCE EFFICIENCY, MFG CATERPILLAR, P/N 1R-0751",PCS,1
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,40,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,0
G1,CEDE-H750-01,Job for Mechanic Caterpillar engine Model C9-750 hr service,50,1010805,"FILTER, AIR, TYPE CRANKCASE VENTILATION, MFG CATERPILLAR, P/N 274-7913",PCS,1
G1,CRDO-M03-01,Job for Mechanic Crane Herkules Model RM430028  3-Monthly service,151,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
G1,CRDO-M03-01,Job for Mechanic Crane Herkules Model RM430028  3-Monthly service,171,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
G1,CRDO-M03-01,Job for Mechanic Crane Herkules Model RM430028  3-Monthly service,211,1009010,"LUBRICANT, TYPE WIRE ROPE LUBRICANT, SOLVENT-DEWAXED, BASEOIL, CONTAINER RESIDUAL OILS (PETROLEUM), 12.5 LITRE/PAIL, MFG BRIDON, P/N BRILUBE 70",PAI,0.5
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,31,1005589,"FILTER, OIL, FILTERING RETENTION HIGH PRESSURE, MFG MP FILTRI, P/N HP-320-1-A10-A-N-P01",EA,1
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,151,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,171,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,21,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,0.5
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,211,1009010,"LUBRICANT, TYPE WIRE ROPE LUBRICANT, SOLVENT-DEWAXED, BASEOIL, CONTAINER RESIDUAL OILS (PETROLEUM), 12.5 LITRE/PAIL, MFG BRIDON, P/N BRILUBE 70",PAI,0.5
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,21,1009897,"OIL, GEAR, SAE GRADE 85W-140, FLASH POINT 315DEG.C, VISC RTG 14.4 MM2/S AT 100DEG.C, CONT PAIL 18L, MFG CALTEX, P/N DELO GEAR EP-5 SAE 85W-140",PAI,1
G1,CRDO-M06-01,Job for Mechanic Crane Herkules Model RM430028  6-Monthly service,20,1003486,"GREASE, TYPE GADUS S2 V220 2, TEMP RTG -20 TO 130 DEG C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN/18L, MFG SHELL, P/N GADUS S2 V220 2/18 L",PAI,0.1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",10,1002624,"DUPLICATED, PLEASE USE ITEM 1003255",PAI,1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",40,1002872,DUPLICATE ITEM 1004076,EA,1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",50,1002829,DUPLICATE ITEM 1003332,SET,1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",80,1002625,"KIT, TYPE SEPARATOR, CONTAINS A OIL SEPARATOR (1622365600), CONTAINS B O-RING (0663211116), MFG ATLAS COPCO, P/N 2901056622",EA,1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",10,1003255,"OIL, INDUSTRIAL, TYPE ROTO, VISC RTG 100, FLASH POINT 240 DEG.C, CONTAINER CAN 20L, MFG ATLAS COPCO, P/N 1630091800",CAN,1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",40,1003332,"ELEMENT, FILTER, TYPE AIR & OIL, MFG ATLAS COPCO, P/N 9093003211",EA,1
G1,COSC-H4000-02,"Job for Mechanic Air compressor Atlas Copco Moel GA75PLUS 4,000 hr Service",20,1004076,"KIT, TYPE FILTER REPLACEMENT, CONTAINS OIL FILTER ELEMENT ASSY, MFG ATLAS COPCO, P/N 2901194502",EA,1
G1,COSC-H8000-05,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",30,1005474,"KIT, APPLICATION PM KIT 8000 HR. RIF, MFG ATLAS COPCO, P/N 2901920070",KIT,1
G1,COSC-H8000-05,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",30,1017451,"KIT, TYPE THERMOSTAT VALVE, APP SET 75 DEG C., FOR AIR COMPRESSOR MODEL GA75 PLUS, S/N API616088, MFG ATLAS COPCO, P/N 2901 1618 00",EA,1
G1,COSC-H8000-05,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",30,1003255,"OIL, INDUSTRIAL, TYPE ROTO, VISC RTG 100, FLASH POINT 240 DEG.C, CONTAINER CAN 20L, MFG ATLAS COPCO, P/N 1630091800",CAN,2
G1,COSC-H8000-05,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",30,1005249,"KIT, APPLICATION OIL SEPARATOR KIT, MFG ATLAS COPCO, P/N 2901920040",KIT,1
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1005589,"FILTER, OIL, FILTERING RETENTION HIGH PRESSURE, MFG MP FILTRI, P/N HP-320-1-A10-A-N-P01",EA,1
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,211,1009010,"LUBRICANT, TYPE WIRE ROPE LUBRICANT, SOLVENT-DEWAXED, BASEOIL, CONTAINER RESIDUAL OILS (PETROLEUM), 12.5 LITRE/PAIL, MFG BRIDON, P/N BRILUBE 70",PAI,0.5
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,171,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,151,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,21,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,1
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,23,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,3
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,24,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,1
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1020526,"FILTER, OIL, FILTER RETENTION HIGHT PRESSURE, FOR HYDRAULIC DISCHARGE FILTER, MFG MP FILTRI, P/N HP-320-4-A10-A-N",EA,4
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1021209,"SEAL, O-RING, TYPE KIT, FOR HYDRAULIC SUCTION FILTER MP FILTRI MODEL SF503M60NP01, MFG MP FILTRI, P/N 02050070 (NBR)",EA,2
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1020525,"FILTER, OIL, FILTER RETENTION FOR HYDRAULIC SUCTION FILTER, MFG MP FILTRI, P/N SF503M60NP01",EA,2
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1018667,"ELEMENT, FILTER, TYPE HYDRAULIC RETURN FILTER, USE FOR FILTER MP FILTRI MODEL MPH630, MFG MP FILTRI, P/N MR6302A25A",SET,2
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1018666,"ELEMENT, FILTER, TYPE HYDRAULIC SUCTION FILTER, USE FOR FILTER MP FILTRI MODEL SF504, MFG MP FILTRI, P/N SF504M60N",SET,2
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1018665,"SEAL, O-RING, TYPE KIT, HYDRAULIC SUCTION FILTER, MATL FPM, USE FOR FILTER MP FILTRI MODEL SF2504, MFG MP FILTRI, P/N 02050073(FPM)",SET,2
G1,CRDO-Y01-02,Job for Mechanic Crane Herkules Model RM430028  Annual service,31,1018664,"SEAL, O-RING, TYPE KIT, FOR HYDRAULIC DISCHARGE FILTER, MATL NBR, USE FOR FILTER MP FILTRI MODEL FHP320, MFG MP FILTRI, P/N 02050272(NBR)",SET,4
G1,CEDE-H6000-03,Job for  Mechanic Cummins engine model KTA38-G2A  6000 hr service,30,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
G1,CEDE-H6000-03,Job for  Mechanic Cummins engine model KTA38-G2A  6000 hr service,200,1002500,"ELEMENT, FILTER, TYPE OIL SPIN ON, SIZE 118.62 X 249.2MM., MFG FLEETGUARD, P/N LF670",EA,4
G1,CEDE-H6000-03,Job for  Mechanic Cummins engine model KTA38-G2A  6000 hr service,210,1002517,"ELEMENT, FILTER, TYPE OIL, SPIN-ON, SIZE 116.08 X 249.2MM., FILTER RETENTION 5 MICRON, MFG FLEETGUARD, P/N LF777",PCS,2
G1,CEDE-H6000-03,Job for  Mechanic Cummins engine model KTA38-G2A  6000 hr service,220,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,1
